api-1  | [2026-02-09 19:36:50 +0000] [1] [INFO] Starting gunicorn 25.0.3
api-1  | {"timestamp": "2026-02-09T19:37:49.813378+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "763f5415-70a5-4373-b7cf-acf342b17165", "user_id": null, "path": "/healthz", "method": "GET", "status_code": 200, "latency_ms": 212.6}
api-1  | {"timestamp": "2026-02-09T19:37:49.821399+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "59345d44-ca13-4fa2-9a92-f6a59a3f8ea2", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 5.46}
api-1  | {"timestamp": "2026-02-09T19:37:49.835591+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "394475f7-44cf-41b1-976e-edb77eaceeef", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 1.93}
api-1  | {"timestamp": "2026-02-09T19:37:49.842076+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "c50ccb07-a893-4549-8658-a293f1126c1c", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 5.1}
api-1  | {"timestamp": "2026-02-09T19:37:49.845578+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "72889a18-2f8f-40e4-8cef-b4464edcd852", "user_id": null, "path": "/version", "method": "GET", "status_code": 200, "latency_ms": 0.96}
api-1  | {"timestamp": "2026-02-09T19:37:51.532609+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "2ae90324-8fda-40e1-8932-9bc50256bdea", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 13.76}
api-1  | {"timestamp": "2026-02-09T19:37:51.888858+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "6e2cac58-c1e9-47b9-814d-b483d9adc5ae", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 2.43}
api-1  | {"timestamp": "2026-02-09T19:37:54.304673+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "5de924fd-e480-454f-8d7e-e71b1a95433b", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 2.51}
api-1  | {"timestamp": "2026-02-09T19:37:58.251669+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "339a0b51-d907-46c0-b9f8-34dd5d4add64", "user_id": null, "path": "/metrics", "method": "GET", "status_code": 200, "latency_ms": 3.56}
api-1  | {"timestamp": "2026-02-09T19:38:06.540916+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "93fe65ed-0aea-44fa-bffe-72703daf084a", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 19.0}
api-1  | {"timestamp": "2026-02-09T19:38:06.915713+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "01652aa2-bdad-4a73-8639-93f3204dc151", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 28.92}
api-1  | {"timestamp": "2026-02-09T19:38:13.251460+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "bc0c487e-7a0c-43bc-8c23-c1bbb9b7cc01", "user_id": null, "path": "/metrics", "method": "GET", "status_code": 200, "latency_ms": 2.42}
api-1  | {"timestamp": "2026-02-09T19:38:21.565460+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "65277915-f1ab-4eda-9716-09b97536da3a", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 43.88}
api-1  | {"timestamp": "2026-02-09T19:38:21.916835+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "fceb095c-02da-4350-b217-c9e1ffc95a97", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 25.6}
api-1  | {"timestamp": "2026-02-09T19:38:24.384395+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "aa5f0bc4-ca66-4777-84ef-c5d180ec8be2", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 6.89}
api-1  | {"timestamp": "2026-02-09T19:38:28.255672+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "6dc18bae-b991-4c64-b3b0-953149f0ab21", "user_id": null, "path": "/metrics", "method": "GET", "status_code": 200, "latency_ms": 1.45}
api-1  | {"timestamp": "2026-02-09T19:38:36.530004+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "7570f8eb-1eaa-4bd9-9973-a7d72469f492", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 14.73}
api-1  | {"timestamp": "2026-02-09T19:38:36.902665+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "745c83bf-30c9-469b-a481-55726876ead0", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 14.63}
api-1  | {"timestamp": "2026-02-09T19:38:43.256668+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "7fb1fa4c-6b6d-4338-81ff-c97c1e4df9a1", "user_id": null, "path": "/metrics", "method": "GET", "status_code": 200, "latency_ms": 6.72}
api-1  | {"timestamp": "2026-02-09T19:38:49.891410+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "b31f4388-0998-4902-b64f-4c5a1c8bfc90", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 3.39}
api-1  | {"timestamp": "2026-02-09T19:38:50.125741+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "ca9e0e25-281a-4478-b0ba-9236f3e7b24e", "user_id": null, "path": "/healthz", "method": "GET", "status_code": 200, "latency_ms": 230.56}
api-1  | {"timestamp": "2026-02-09T19:38:50.134017+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "e5ce7a61-52b2-4555-9393-6d7ec7fb4444", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 5.68}
api-1  | {"timestamp": "2026-02-09T19:38:50.146924+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "f955999f-f715-4fe7-954a-90076b72bea1", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 1.61}
api-1  | {"timestamp": "2026-02-09T19:38:50.153229+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "b6cec718-6b93-4bb6-839c-24e01334c0a3", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 4.69}
api-1  | {"timestamp": "2026-02-09T19:38:50.157974+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "eead7d8d-dd8e-4c0b-9151-970cde1206fd", "user_id": null, "path": "/version", "method": "GET", "status_code": 200, "latency_ms": 1.13}
api-1  | {"timestamp": "2026-02-09T19:38:51.533212+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "2bf973b6-674b-4a29-b95b-2d96c782d6e6", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 13.82}
api-1  | {"timestamp": "2026-02-09T19:38:51.940998+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "4127b6b8-2581-44ff-8cc1-12ed23528ad4", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 35.65}
api-1  | {"timestamp": "2026-02-09T19:38:54.454897+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "32a52923-4bbf-40ca-bff7-d3aa7d23e51f", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 2.51}
api-1  | {"timestamp": "2026-02-09T19:38:58.254379+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "0bb0dc72-ec81-4b01-9039-694bc89db428", "user_id": null, "path": "/metrics", "method": "GET", "status_code": 200, "latency_ms": 8.28}
api-1  | {"timestamp": "2026-02-09T19:39:06.535130+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "021c6fbb-4c69-4d15-9f51-8fd43ba0200e", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 15.96}
api-1  | {"timestamp": "2026-02-09T19:39:06.923013+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "89124702-e0a2-49f8-b76d-8135750904bf", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 32.61}
api-1  | {"timestamp": "2026-02-09T19:39:13.252574+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "f67ff6a2-67be-4f9e-82df-f1b9d51eb208", "user_id": null, "path": "/metrics", "method": "GET", "status_code": 200, "latency_ms": 5.34}
api-1  | {"timestamp": "2026-02-09T19:39:21.541086+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "5815dd15-d3ca-41ad-8046-91f54c2f832f", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 14.94}
api-1  | {"timestamp": "2026-02-09T19:39:21.895753+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "e0a061e4-65b0-4938-b106-896452fc7819", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 4.52}
api-1  | {"timestamp": "2026-02-09T19:39:24.529212+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "49f38416-d5de-4a39-ad52-1e4af2537a37", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 2.85}
api-1  | {"timestamp": "2026-02-09T19:39:28.258112+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "db86333f-0f56-4f41-877f-3955b435a0e7", "user_id": null, "path": "/metrics", "method": "GET", "status_code": 200, "latency_ms": 4.7}
api-1  | {"timestamp": "2026-02-09T19:39:36.559593+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "a499843b-c730-409f-b909-65c8923c75b5", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 37.97}
api-1  | {"timestamp": "2026-02-09T19:39:36.925874+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "a6bc20eb-c13c-4c8a-879b-61a9b8807e42", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 25.39}
api-1  | {"timestamp": "2026-02-09T19:39:43.253897+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "355757ee-1167-477d-a4a7-df11bc0dafb0", "user_id": null, "path": "/metrics", "method": "GET", "status_code": 200, "latency_ms": 2.83}
api-1  | {"timestamp": "2026-02-09T19:39:50.225160+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "72110447-1b04-4cbd-a476-30999a7057ee", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 35.7}
api-1  | {"timestamp": "2026-02-09T19:39:50.253762+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "379d17b9-a43d-41a9-9fd0-c0bf05fb7183", "user_id": null, "path": "/healthz", "method": "GET", "status_code": 200, "latency_ms": 24.96}
api-1  | {"timestamp": "2026-02-09T19:39:50.263095+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "56df8e97-d9ec-4a5d-b952-ce74a24bc780", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 5.57}
api-1  | {"timestamp": "2026-02-09T19:39:50.277553+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "34399365-3cc7-4249-8456-5fda44fa0d08", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 1.85}
api-1  | {"timestamp": "2026-02-09T19:39:50.283422+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "533c1c4d-5370-46cc-8e6d-d25e5b947a96", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 4.74}
api-1  | {"timestamp": "2026-02-09T19:39:50.287371+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "1a51a0e0-9da0-4bb6-a815-afe071543e8d", "user_id": null, "path": "/version", "method": "GET", "status_code": 200, "latency_ms": 1.07}
api-1  | {"timestamp": "2026-02-09T19:39:51.539603+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "bc241d9d-99ab-47fe-a955-390fb67247d7", "user_id": null, "path": "/openapi.json", "method": "GET", "status_code": 200, "latency_ms": 9.41}
api-1  | {"timestamp": "2026-02-09T19:39:51.896042+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "ceba7260-fadc-44d6-a393-73b41321c58a", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 4.82}
api-1  | {"timestamp": "2026-02-09T19:39:54.595774+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "950c04f6-1364-45b8-b1da-a4c05e0f5f3e", "user_id": null, "path": "/readyz", "method": "GET", "status_code": 200, "latency_ms": 3.56}
